"ID";"Portfolio";"Status";"Delegate"
1;"Narendra Modi";"Available";""
2;"Amit Shah";"Available";""
3;"S. Jaishankar";"Available";""
4;"Nirmala Sitharaman";"Available";""
5;"Yogi Adityanath";"Available";""
6;"Rajnath Singh";"Available";""
7;"Nitin Gadkari";"Available";""
8;"Bhupender Yadav";"Available";""
9;"Piyush Goyal";"Available";""
10;"Rahul Gandhi";"Available";""
11;"Nitish Kumar";"Available";""
12;"Mamata Banerjee";"Available";""
13;"Dharmendra Pradhan";"Available";""
14;"M. K. Stalin";"Available";""
15;"Mallikarjun Kharge";"Available";""
16;"Mansukh Mandaviya";"Available";""
17;"Akhilesh Yadav";"Available";""
18;"Sharad Pawar";"Available";""
19;"Asaduddin Owaisi";"Available";""
20;"Arvind Kejriwal";"Available";""
21;"Priyanka Gandhi";"Available";""
22;"Sonia Gandhi";"Available";""
23;"Shashi Tharoor";"Available";""
24;"P. Chidambaram";"Available";""
25;"Anurag Thakur";"Available";""
26;"Jitendra Singh";"Available";""
27;"Arjun Munda";"Available";""
28;"Kanimozhi Karunanidhi";"Available";""
29;"Udhayanidhi Stalin";"Available";""
30;"Thirumavalavan";"Available";""
31;"Tejasvi Surya";"Available";""
32;"Chandra Babu Naidu";"Available";""
33;"Eknath Shinde";"Available";""
34;"Uddhav Thackeray";"Available";""
35;"Dayanidhi Maran";"Available";""
36;"Vijay";"Available";""
37;"Seeman";"Available";""
38;"Lalduhoma";"Available";""
39;"Biren Singh";"Available";""
40;"Revanth Reddy";"Available";""
41;"Naveen Patnaik";"Available";""
